character,radical,decomposition,pinyin,definition,etymology,stroke_count,radical_code,frequency_rank,hsk_levl
剜,刀,⿰宛刂,wān,"cut, cut out, pick out, scoop out","{'type': 'pictophonetic', 'phonetic': '宛', 'semantic': '刂', 'hint': 'knife'}",10,18.8,4671,
绉,糸,⿰纟刍,zhòu,"crepe, crape, wrinkles, creases","{'type': 'pictophonetic', 'phonetic': '刍', 'semantic': '纟', 'hint': 'silk'}",8,120.5,4672,
罅,缶,⿰缶虖,xià,"crack, fissure, split","{'type': 'ideographic', 'hint': 'The sound\xa0虖 of pottery\xa0缶 breaking'}",17,121.11,4673,
笥,竹,⿱⺮司,sì,"a hamper, wicker basket","{'type': 'pictophonetic', 'phonetic': '司', 'semantic': '⺮', 'hint': 'bamboo'}",11,118.5,4674,
衩,衣,⿰衤叉,chǎ,the open seam of a garment which allows freedom of movement,"{'type': 'pictophonetic', 'phonetic': '叉', 'semantic': '衤', 'hint': 'clothes'}",8,145.3,4675,
姣,女,⿰女交,jiāo,"beautiful, handsome, pretty","{'type': 'pictophonetic', 'phonetic': '交', 'semantic': '女', 'hint': 'woman'}",9,38.6,4676,
斫,斤,⿰石斤,zhuó,"cut, chop, lop off","{'type': 'pictophonetic', 'phonetic': '石', 'semantic': '斤', 'hint': 'axe'}",9,69.5,4677,
鹗,鳥,⿰咢鸟,è,"osprey, fishhawk","{'type': 'pictophonetic', 'phonetic': '咢', 'semantic': '鸟', 'hint': 'bird'}",14,196.9,4678,
腎,肉,⿱臤⺼,shèn,"kidneys; testes, gizzard","{'type': 'pictophonetic', 'phonetic': '臤', 'semantic': '⺼', 'hint': 'flesh'}",12,130.8,4679,
爻,爻,⿱乂乂,yáo,diagrams for divination,"{'type': 'ideographic', 'hint': 'Two marks\xa0乂 on an oracle bone'}",4,89.0,4680,
猕,犬,⿰犭弥,mí,macacus monkey,"{'type': 'pictophonetic', 'phonetic': '弥', 'semantic': '犭', 'hint': 'animal'}",11,94.8,4681,
晗,日,⿰日含,hán,pre-dawn,"{'type': 'pictophonetic', 'phonetic': '含', 'semantic': '日', 'hint': 'sun'}",11,72.7,4682,
铩,金,⿰钅杀,shā,moult,"{'type': 'ideographic', 'hint': 'A metal\xa0钅 weapon\xa0杀'}",11,167.6,4683,
窕,穴,⿱穴兆,tiǎo,"slender; quiet and modest, charming","{'type': 'pictophonetic', 'phonetic': '兆', 'semantic': '穴', 'hint': 'cave'}",11,116.6,4684,
仨,人,⿰亻三,sā,(coll.) three (cannot be followed by a measure word),"{'type': 'pictophonetic', 'phonetic': '三', 'semantic': '三', 'hint': 'three'}",5,9.3,4685,
搡,手,⿰扌桑,sǎng,to push over or push back,"{'type': 'pictophonetic', 'phonetic': '桑', 'semantic': '扌', 'hint': 'hand'}",13,64.1,4686,
崴,山,⿱山威,wǎi,"high, lofty; precipitous","{'type': 'pictophonetic', 'phonetic': '威', 'semantic': '山', 'hint': 'mountain'}",12,46.9,4687,
酢,酉,⿰酉乍,cù,,"{'type': 'pictophonetic', 'phonetic': '乍', 'semantic': '酉', 'hint': 'wine'}",12,164.5,4688,
檄,木,⿰木敫,xí,call arms; urgency,,17,75.13,4689,
佞,人,⿰亻⿱二女,nìng,flattery; glib,"{'type': 'ideographic', 'hint': 'Kindness\xa0仁 toward a\xa0woman 女'}",7,9.5,4690,
孑,子,？,jié,"remaining, left-over; lonely",,3,39.0,4691,
璀,玉,⿰王崔,cuǐ,lustre of gems; glitter; shine,"{'type': 'pictophonetic', 'phonetic': '崔', 'semantic': '王', 'hint': 'jade'}",15,96.11,4692,
岷,山,⿰山民,mín,"min mountain, min river","{'type': 'pictophonetic', 'phonetic': '民', 'semantic': '山', 'hint': 'mountain'}",8,46.5,4693,
舛,舛,⿰夕？,chuǎn,"oppose, deviate, be contrary to",,6,136.0,4694,
邕,邑,⿱巛邑,yōng,former or literary name for Nanning (in Guangxi),"{'type': 'ideographic', 'hint': 'The area\xa0邑 around a river\xa0巛'}",10,163.3,4695,
闿,門,,kǎi,open; peaceful,,9,169.1,4696,
铂,金,⿰钅白,bó,platinum; thin sheet of metal,"{'type': 'pictophonetic', 'phonetic': '白', 'semantic': '钅', 'hint': 'metal'}",10,167.5,4697,
霁,雨,⿱雨齐,jì,to clear up after rain; to cease be angry,"{'type': 'pictophonetic', 'phonetic': '齐', 'semantic': '雨', 'hint': 'rain'}",14,173.6,4698,
犒,牛,⿰牛高,kào,entertain victorious soldiers,"{'type': 'pictophonetic', 'phonetic': '高', 'semantic': '牛', 'hint': 'ox'}",14,93.1,4699,
馏,食,⿰饣留,liú,"distill, distillation","{'type': 'ideographic', 'hint': 'Distilled 留 wine\xa0饣;\xa0留 also provides the pronunciation'}",13,184.1,4700,
阈,門,⿵门或,yù,"threshold; separated, confined","{'type': 'ideographic', 'hint': 'Separated\xa0或 by a gate\xa0门'}",11,169.8,4701,
麋,鹿,⿸鹿米,mí,elk; surname,"{'type': 'pictophonetic', 'phonetic': '米', 'semantic': '鹿', 'hint': 'deer'}",17,198.6,4702,
麒,鹿,⿰鹿其,qí,legendary auspicious animal,"{'type': 'pictophonetic', 'phonetic': '其', 'semantic': '鹿', 'hint': 'deer'}",19,198.8,4703,
苁,艸,⿱艹从,cōng,medicinal herb,"{'type': 'pictophonetic', 'phonetic': '从', 'semantic': '艹', 'hint': 'herb'}",7,140.4,4704,
摁,手,⿰扌恩,èn,to press with the hand,"{'type': 'pictophonetic', 'phonetic': '恩', 'semantic': '扌', 'hint': 'hand'}",13,64.1,4705,
涔,水,⿰氵岑,cén,river in Shaanxi; murky torrent,"{'type': 'pictophonetic', 'phonetic': '岑', 'semantic': '氵', 'hint': 'water'}",10,85.7,4706,
宥,宀,⿱宀有,yòu,"forgive, pardon, indulge","{'type': 'pictophonetic', 'phonetic': '有', 'semantic': '宀', 'hint': 'roof'}",9,40.6,4707,
妍,女,⿰女开,yán,"beautiful, handsome; seductive","{'type': 'ideographic', 'hint': 'A woman\xa0女 who appears forward or open\xa0开'}",7,38.6,4708,
铤,金,⿰钅廷,dìng,"ingots, bars of metal; hurry","{'type': 'pictophonetic', 'phonetic': '廷', 'semantic': '钅', 'hint': 'metal'}",11,167.7,4709,
锷,金,⿰钅咢,è,"high, lofty; edge of knife","{'type': 'pictophonetic', 'phonetic': '咢', 'semantic': '钅', 'hint': 'metal'}",14,167.9,4710,
嗲,口,⿰口爹,diǎ,,"{'type': 'pictophonetic', 'phonetic': '爹', 'semantic': '口', 'hint': 'mouth'}",13,30.1,4711,
恽,心,⿰忄军,yùn,"devise, plan, deliberate; consult","{'type': 'ideographic', 'hint': 'To plan\xa0忄 for a battle 军;\xa0军 also provides the pronunciation'}",9,61.6,4712,
麂,鹿,⿸鹿几,jǐ,species of deer,"{'type': 'pictophonetic', 'phonetic': '几', 'semantic': '鹿', 'hint': 'deer'}",13,198.2,4713,
赝,厂,⿸雁贝,yàn,false; counterfeit; bogus; sham,"{'type': 'ideographic', 'hint': '""Wild goose""\xa0雁\xa0money\xa0贝;\xa0雁 also provides the pronunciation'}",16,27.14,4714,
胛,肉,⿰⺼甲,jiǎ,"the shoulder, shoulder blade","{'type': 'pictophonetic', 'phonetic': '甲', 'semantic': '⺼', 'hint': 'flesh'}",9,130.5,4715,
哂,口,⿰口西,shěn,"smile, laugh at, sneer at; (Cant.) a final particle indicating doing something to the full extent possible","{'type': 'pictophonetic', 'phonetic': '西', 'semantic': '口', 'hint': 'mouth'}",9,30.6,4716,
撷,手,⿰扌颉,xié,"pick up, gather up; hold in lap","{'type': 'pictophonetic', 'phonetic': '颉', 'semantic': '扌', 'hint': 'hand'}",15,64.12,4717,
呶,口,⿰口奴,náo,talkative; clamour; hubbub,"{'type': 'pictophonetic', 'phonetic': '奴', 'semantic': '口', 'hint': 'mouth'}",8,30.5,4718,
噘,口,⿰口厥,juē,pouting,"{'type': 'pictophonetic', 'phonetic': '厥', 'semantic': '口', 'hint': 'mouth'}",15,30.12,4719,
懔,心,⿰忄禀,lǐn,"be afraid of, to be in awe of","{'type': 'pictophonetic', 'phonetic': '禀', 'semantic': '忄', 'hint': 'heart'}",16,61.13,4720,
栎,木,⿰木乐,lì,chestnut-leaved oak; oak,"{'type': 'pictophonetic', 'phonetic': '乐', 'semantic': '木', 'hint': 'tree'}",9,75.5,4721,
桎,木,⿰木至,zhì,"fetters, shackles, handcuffs","{'type': 'pictophonetic', 'phonetic': '至', 'semantic': '木', 'hint': 'wood'}",10,75.6,4722,
霰,雨,⿱雨散,sǎn,"hail, sleet","{'type': 'pictophonetic', 'phonetic': '散', 'semantic': '雨', 'hint': 'rain'}",20,173.12,4723,
飨,食,⿰乡食,xiǎng,host banquet; banquet,"{'type': 'pictophonetic', 'phonetic': '乡', 'semantic': '食', 'hint': 'food'}",12,184.3,4724,
揄,手,⿰扌俞,yú,"lift, raise; praise; hang; flap","{'type': 'pictophonetic', 'phonetic': '俞', 'semantic': '扌', 'hint': 'hand'}",12,64.9,4725,
噔,口,⿰口登,dēng,syllable; (Cant.) for (a recipient of pity or sympathy),"{'type': 'pictophonetic', 'phonetic': '登', 'semantic': '口', 'hint': 'mouth'}",15,30.12,4726,
娣,女,⿰女弟,dì,"younger sister, sister-in-law","{'type': 'pictophonetic', 'phonetic': '弟', 'semantic': '女', 'hint': 'woman'}",10,38.7,4727,
薏,艸,⿱艹意,yì,,"{'type': 'pictophonetic', 'phonetic': '意', 'semantic': '艹', 'hint': 'plant'}",16,140.13,4728,
忝,心,⿱天⺗,tiǎn,disgraced; ashamed; self-deprecating,"{'type': 'pictophonetic', 'phonetic': '天', 'semantic': '⺗', 'hint': 'heart'}",8,61.4,4729,
咤,口,⿰口宅,zhà,"scold, bellow, shout at, roar","{'type': 'pictophonetic', 'phonetic': '宅', 'semantic': '口', 'hint': 'mouth'}",9,30.6,4730,
嗵,口,⿰口通,tōng,used for sound,"{'type': 'pictophonetic', 'phonetic': '通', 'semantic': '口', 'hint': 'mouth'}",13,30.1,4731,
迤,辵,⿺辶⿱？也,yí,wind; walk out of straight path,"{'type': 'pictophonetic', 'phonetic': '也', 'semantic': '辶', 'hint': 'walk'}",8,162.5,4732,
贲,貝,⿱卉贝,bēn,forge ahead; energetic; surname,,9,154.5,4733,
胪,肉,⿰⺼卢,lú,arrange in order; display,"{'type': 'pictophonetic', 'phonetic': '卢', 'semantic': '⺼', 'hint': 'flesh'}",9,130.5,4734,
鍪,金,⿱敄金,móu,an iron pan; a metal cap,"{'type': 'pictophonetic', 'phonetic': '敄', 'semantic': '金', 'hint': 'metal'}",17,167.9,4735,
泸,水,⿰氵卢,lú,river in Jiangxi province,"{'type': 'pictophonetic', 'phonetic': '卢', 'semantic': '氵', 'hint': 'water'}",8,85.5,4736,
蔫,艸,⿱艹焉,niān,"withered, faded, decayed; calm","{'type': 'pictophonetic', 'phonetic': '焉', 'semantic': '艹', 'hint': 'grass'}",14,140.11,4737,
刈,刀,⿰乂刂,yì,"cut off, reap, mow; sickle","{'type': 'pictophonetic', 'phonetic': '乂', 'semantic': '刂', 'hint': 'knife'}",4,18.2,4738,
僖,人,⿰亻喜,xī,"joy, gladness, delight; surname","{'type': 'ideographic', 'hint': 'Someone\xa0亻\xa0in love\xa0喜;\xa0喜 also provides the pronunciation'}",14,9.12,4739,
咿,口,⿰口伊,yī,descriptive of creaking; laugh,"{'type': 'pictophonetic', 'phonetic': '伊', 'semantic': '口', 'hint': 'mouth'}",9,30.6,4740,
鹌,鳥,⿰奄鸟,ān,quail; Coturnix coturnix,"{'type': 'pictophonetic', 'phonetic': '奄', 'semantic': '鸟', 'hint': 'bird'}",13,196.8,4741,
嗪,口,⿰口秦,qín,character used in translation,"{'type': 'pictophonetic', 'phonetic': '秦', 'semantic': '口', 'hint': 'mouth'}",13,30.1,4742,
茏,艸,⿱艹龙,lóng,tall grass; water-weeds,"{'type': 'pictophonetic', 'phonetic': '龙', 'semantic': '艹', 'hint': 'grass'}",8,140.5,4743,
茯,艸,⿱艹伏,fú,china root; medicinal fungus,"{'type': 'pictophonetic', 'phonetic': '伏', 'semantic': '艹', 'hint': 'herb'}",9,140.6,4744,
岫,山,⿰山由,xiù,"mountain peak; cave, cavern","{'type': 'pictophonetic', 'phonetic': '由', 'semantic': '山', 'hint': 'mountain'}",8,46.5,4745,
嵘,山,⿰山荣,róng,"high, steep; lofty, towering","{'type': 'pictophonetic', 'phonetic': '荣', 'semantic': '山', 'hint': 'mountain'}",12,46.9,4746,
轱,車,⿰车古,gū,wheel; to turn; to revolve,"{'type': 'pictophonetic', 'phonetic': '古', 'semantic': '车', 'hint': 'wheel'}",9,159.5,4747,
怼,心,⿱对心,duì,"hate, abhor; hatred, resentment","{'type': 'pictophonetic', 'phonetic': '对', 'semantic': '心', 'hint': 'heart'}",9,61.5,4748,
铨,金,⿰钅全,quán,"weigh, measure; select officials","{'type': 'pictophonetic', 'phonetic': '全', 'semantic': '钅', 'hint': 'metal'}",11,167.6,4749,
昕,日,⿰日斤,xīn,dawn; early morning; day,"{'type': 'pictophonetic', 'phonetic': '斤', 'semantic': '日', 'hint': 'sun'}",8,72.4,4750,
郢,邑,⿰呈阝,yǐng,,"{'type': 'pictophonetic', 'phonetic': '呈', 'semantic': '阝', 'hint': 'place'}",9,163.7,4751,
咩,口,⿰口羊,miē,the bleating of sheep; (Cant.) an interrogative particle,"{'type': 'ideographic', 'hint': 'The sound a sheep\xa0羊 makes with its mouth\xa0口'}",9,30.6,4752,
馊,食,⿰饣叟,sōu,"spoiled, rotten, stale, rancid","{'type': 'ideographic', 'hint': 'Old\xa0叟 food\xa0饣;\xa0叟 also provides the pronunciation'}",12,184.9,4753,
髡,髟,⿱髟兀,kūn,to shear tree; ancient punishment,"{'type': 'pictophonetic', 'phonetic': '兀', 'semantic': '髟', 'hint': 'shave'}",13,190.3,4754,
澧,水,⿰氵豊,lǐ,river in northern Hunan province,"{'type': 'pictophonetic', 'phonetic': '豊', 'semantic': '氵', 'hint': 'water'}",16,85.13,4755,
苣,艸,⿱艹巨,jù,kind of lettuce,"{'type': 'pictophonetic', 'phonetic': '巨', 'semantic': '艹', 'hint': 'plant'}",7,140.5,4756,
濯,水,⿰氵翟,zhuó,"wash out, rinse; cleanse","{'type': 'pictophonetic', 'phonetic': '隹', 'semantic': '氵', 'hint': 'water'}",17,85.14,4757,
盥,皿,⿱⿲？水彐皿,guàn,wash,"{'type': 'ideographic', 'hint': ""Washing\xa0水 one's hands\xa0彐 in a basin\xa0皿""}",16,108.11,4758,
囡,囗,⿴囗女,nān,,"{'type': 'ideographic', 'hint': 'A girl\xa0女 in a crib\xa0囗'}",6,31.3,4759,
砺,石,⿰石厉,lì,whetstone; sharpen,"{'type': 'ideographic', 'hint': 'A stone\xa0石 used to hone 厉 blades;\xa0厉 also provides the pronunciation'}",10,112.5,4760,
佘,人,⿱人示,shé,surname,"{'type': 'pictophonetic', 'phonetic': '示', 'semantic': '人', 'hint': 'person'}",7,9.5,4761,
谶,言,⿰讠韱,chèn,"prophecy, hint, omen","{'type': 'pictophonetic', 'phonetic': '韱', 'semantic': '讠', 'hint': 'speech'}",19,149.17,4762,
弑,弋,⿰杀式,shì,,"{'type': 'pictophonetic', 'phonetic': '式', 'semantic': '杀', 'hint': 'murder'}",12,56.9,4763,
楂,木,⿰木查,zhā,"a raft, to hew, to fell trees","{'type': 'pictophonetic', 'phonetic': '查', 'semantic': '木', 'hint': 'wood'}",13,75.9,4764,
翦,羽,⿱前羽,jiǎn,"scissors; cut, clip; annhilate","{'type': 'pictophonetic', 'phonetic': '前', 'semantic': '羽', 'hint': 'feather'}",15,124.9,4765,
怩,心,⿰忄尼,ní,"shy, timid, bashful; look ashamed","{'type': 'pictophonetic', 'phonetic': '尼', 'semantic': '忄', 'hint': 'heart'}",8,61.5,4766,
蠼,虫,⿰虫矍,qú,,"{'type': 'pictophonetic', 'phonetic': '矍', 'semantic': '虫', 'hint': 'insect'}",26,142.2,4767,
霏,雨,⿱雨非,fēi,falling of snow and rain,"{'type': 'pictophonetic', 'phonetic': '非', 'semantic': '雨', 'hint': 'rain'}",16,173.8,4768,
楹,木,⿰木盈,yíng,"column, pillar; numerary adjunct","{'type': 'pictophonetic', 'phonetic': '盈', 'semantic': '木', 'hint': 'wood'}",13,75.9,4769,
讴,言,⿰讠区,ōu,sing; songs,"{'type': 'pictophonetic', 'phonetic': '区', 'semantic': '讠', 'hint': 'speech'}",6,149.4,4770,
锲,金,⿰钅契,qiè,"sickle; cut, carve, engrave","{'type': 'ideographic', 'hint': 'Something engraved\xa0契\xa0in metal 钅;\xa0契 also provides the pronunciation'}",14,167.9,4771,6.0
慵,心,⿰忄庸,yōng,"indolent, easy-going, lazy","{'type': 'pictophonetic', 'phonetic': '庸', 'semantic': '忄', 'hint': 'heart'}",14,61.11,4772,
胝,肉,⿰⺼氐,zhī,"callous, corn","{'type': 'pictophonetic', 'phonetic': '氐', 'semantic': '⺼', 'hint': 'flesh'}",9,130.5,4773,
砭,石,⿰石乏,biān,stone probe; pierce; counsel,"{'type': 'pictophonetic', 'phonetic': '乏', 'semantic': '石', 'hint': 'stone'}",9,112.5,4774,
潍,水,⿰氵维,wéi,county in Shandong province,"{'type': 'pictophonetic', 'phonetic': '维', 'semantic': '氵', 'hint': 'water'}",14,85.11,4775,
杵,木,⿰木午,chǔ,pestle; baton used beat clothes,"{'type': 'pictophonetic', 'phonetic': '午', 'semantic': '木', 'hint': 'wood'}",8,75.4,4776,
樾,木,⿰木越,yuè,the shade of trees,"{'type': 'pictophonetic', 'phonetic': '越', 'semantic': '木', 'hint': 'tree'}",16,75.12,4777,
帼,巾,⿰巾国,guó,,"{'type': 'pictophonetic', 'phonetic': '国', 'semantic': '巾', 'hint': 'cloth'}",11,50.8,4778,
碣,石,⿰石曷,jié,stone tablet,"{'type': 'pictophonetic', 'phonetic': '曷', 'semantic': '石', 'hint': 'stone'}",14,112.9,4779,
诌,言,⿰讠刍,zhōu,"play with words, quip; talk nonse","{'type': 'pictophonetic', 'phonetic': '刍', 'semantic': '讠', 'hint': 'words'}",7,149.5,4780,
徕,彳,⿰彳来,lái,"induce, encourage to come","{'type': 'pictophonetic', 'phonetic': '来', 'semantic': '彳', 'hint': 'step'}",10,60.7,4781,
胴,肉,⿰⺼同,dòng,the large intestine; the body,"{'type': 'pictophonetic', 'phonetic': '同', 'semantic': '⺼', 'hint': 'flesh'}",10,130.6,4782,
钴,金,⿰钅古,gǔ,cobalt; household iron,"{'type': 'pictophonetic', 'phonetic': '古', 'semantic': '钅', 'hint': 'metal'}",10,167.5,4783,
裟,衣,⿱沙衣,shā,a cassock or robe of a monk,"{'type': 'pictophonetic', 'phonetic': '沙', 'semantic': '衣', 'hint': 'cloth'}",13,145.7,4784,
啶,口,⿰口定,dìng,phonetic used in pyridine and pyrimidine,"{'type': 'pictophonetic', 'phonetic': '定', 'semantic': '口', 'hint': 'mouth'}",11,30.8,4785,
铣,金,⿰钅先,xǐ,mill,"{'type': 'pictophonetic', 'phonetic': '先', 'semantic': '钅', 'hint': 'metal'}",11,167.6,4786,
铱,金,⿰钅衣,yī,iridium,"{'type': 'pictophonetic', 'phonetic': '衣', 'semantic': '钅', 'hint': 'metal'}",11,167.6,4787,
楫,木,⿰木咠,jí,"oar, paddle","{'type': 'pictophonetic', 'phonetic': '咠', 'semantic': '木', 'hint': 'wood'}",13,75.9,4788,
赭,赤,⿰赤者,zhě,reddish brown; hematite; ochre,"{'type': 'pictophonetic', 'phonetic': '者', 'semantic': '赤', 'hint': 'red'}",15,155.9,4789,
碛,石,⿰石责,qì,sand and gravel,"{'type': 'pictophonetic', 'phonetic': '责', 'semantic': '石', 'hint': 'stone'}",13,112.8,4790,
酊,酉,⿰酉丁,dīng,"drunk, intoxicated","{'type': 'pictophonetic', 'phonetic': '丁', 'semantic': '酉', 'hint': 'wine'}",9,164.2,4791,
魑,鬼,⿺鬼离,chī,a mountain demon resembling a tiger,"{'type': 'pictophonetic', 'phonetic': '离', 'semantic': '鬼', 'hint': 'demon'}",19,194.11,4792,
醛,酉,⿰酉荃,quán,aldehyde,"{'type': 'pictophonetic', 'phonetic': '荃', 'semantic': '酉', 'hint': 'chemical'}",16,164.1,4793,
剐,刀,⿰呙刂,guǎ,"cut, cut flesh from bones","{'type': 'pictophonetic', 'phonetic': '呙', 'semantic': '刂', 'hint': 'knife'}",9,18.7,4794,
畦,田,⿰田圭,qí,sections in vegetable farm,"{'type': 'pictophonetic', 'phonetic': '圭', 'semantic': '田', 'hint': 'field'}",11,102.6,4795,
陂,阜,⿰阝皮,bēi,"dam, embankment; reservoir","{'type': 'pictophonetic', 'phonetic': '皮', 'semantic': '阝', 'hint': 'hill'}",7,170.5,4796,
闶,門,⿵门亢,kāng,door,"{'type': 'pictophonetic', 'phonetic': '亢', 'semantic': '门', 'hint': 'door'}",7,169.4,4797,
阄,門,⿵门龟,jiū,lots (to be drawn); draw lots,,10,169.7,4798,
祚,示,⿰礻乍,zuò,"throne; bless; blessing, happiness","{'type': 'pictophonetic', 'phonetic': '乍', 'semantic': '礻', 'hint': 'spirit'}",9,113.5,4799,
鹘,鳥,⿰骨鸟,gǔ,a kind of pigeon; treron permagna,"{'type': 'pictophonetic', 'phonetic': '骨', 'semantic': '鸟', 'hint': 'bird'}",14,196.1,4800,
泱,水,⿰氵央,yāng,"great, expansive; agitated","{'type': 'pictophonetic', 'phonetic': '央', 'semantic': '氵', 'hint': 'water'}",8,85.5,4801,
趄,走,⿺走且,jū,"weak, lame","{'type': 'pictophonetic', 'phonetic': '且', 'semantic': '走', 'hint': 'walk'}",12,156.5,4802,
骅,馬,⿰马华,huá,an excellent horse,"{'type': 'pictophonetic', 'phonetic': '华', 'semantic': '马', 'hint': 'horse'}",9,187.6,4803,
陲,阜,⿰阝垂,chuí,"frontier, border","{'type': 'pictophonetic', 'phonetic': '垂', 'semantic': '阝', 'hint': 'place'}",10,170.8,4804,
郧,邑,⿰员阝,yún,county in Hubei province,"{'type': 'pictophonetic', 'phonetic': '员', 'semantic': '阝', 'hint': 'place'}",9,163.7,4805,
倜,人,⿰亻周,tì,raise high; unrestrained,,10,9.8,4806,
呤,口,⿰口令,lìng,purine,"{'type': 'pictophonetic', 'phonetic': '令', 'semantic': '口', 'hint': 'mouth'}",8,30.5,4807,
燧,火,⿰火遂,suì,"flintstone; beacon, signal fire; torch","{'type': 'pictophonetic', 'phonetic': '遂', 'semantic': '火', 'hint': 'fire'}",16,86.13,4808,
铉,金,⿰钅玄,xuàn,device for carrying a tripod,"{'type': 'pictophonetic', 'phonetic': '玄', 'semantic': '钅', 'hint': 'metal'}",10,167.5,4809,
粲,米,⿱⿰歺又米,càn,"polish; bright, radiant; smiling",,13,119.7,4810,
骶,骨,⿰骨氐,dǐ,coccyx,"{'type': 'pictophonetic', 'phonetic': '氐', 'semantic': '骨', 'hint': 'bone'}",14,188.5,4811,
峁,山,⿱山卯,mǎo,yellow dirt mount,"{'type': 'pictophonetic', 'phonetic': '卯', 'semantic': '山', 'hint': 'mountain'}",8,46.5,4812,
忸,心,⿰忄丑,niǔ,"blush, be bashful, be ashamed","{'type': 'pictophonetic', 'phonetic': '丑', 'semantic': '忄', 'hint': 'heart'}",7,61.4,4813,
渌,水,⿰氵录,lù,strain,"{'type': 'pictophonetic', 'phonetic': '录', 'semantic': '氵', 'hint': 'water'}",11,85.8,4814,
骞,馬,⿳宀？马,qiān,"raise, hold high; fly, soar","{'type': 'ideographic', 'hint': 'A soldier\xa0宀 mounting a horse\xa0马'}",13,187.1,4815,
髭,髟,⿱髟此,zī,mustache,"{'type': 'pictophonetic', 'phonetic': '此', 'semantic': '髟', 'hint': 'hair'}",16,190.5,4816,
戡,戈,⿰甚戈,kān,"subjugate, subdue, quell; kill","{'type': 'pictophonetic', 'phonetic': '甚', 'semantic': '戈', 'hint': 'spear'}",13,62.9,4817,
钨,金,⿰钅乌,wū,"tungsten, wolfram","{'type': 'pictophonetic', 'phonetic': '乌', 'semantic': '钅', 'hint': 'metal'}",9,167.5,4818,
谲,言,⿰讠矞,jué,"cunning, crafty, sly, wily","{'type': 'ideographic', 'hint': 'A bright\xa0矞 wit\xa0讠;\xa0矞 also provides the pronunciation'}",14,149.12,4819,
苋,艸,⿱艹见,xiàn,amaranth,"{'type': 'pictophonetic', 'phonetic': '见', 'semantic': '艹', 'hint': 'plant'}",7,140.4,4820,
锃,金,⿰钅呈,zèng,polish,"{'type': 'pictophonetic', 'phonetic': '呈', 'semantic': '钅', 'hint': 'metal'}",12,167.7,4821,
蜊,虫,⿰虫利,lí,clam,"{'type': 'pictophonetic', 'phonetic': '利', 'semantic': '虫', 'hint': 'mollusk'}",13,142.7,4822,
幄,巾,⿰巾屋,wò,tent; mosquito net,"{'type': 'ideographic', 'hint': 'A room\xa0屋 made of cloth\xa0巾;\xa0屋 also provides the pronunciation'}",12,50.9,4823,
闼,門,⿵门达,tà,door; gate,"{'type': 'pictophonetic', 'phonetic': '达', 'semantic': '门', 'hint': 'door'}",9,169.6,4824,
戕,戈,⿰爿戈,qiāng,"kill, slay; wound, injure, hurt","{'type': 'pictophonetic', 'phonetic': '爿', 'semantic': '戈', 'hint': 'spear'}",8,62.4,4825,
骊,馬,⿰马丽,lí,a pure black horse; a pair of horses,"{'type': 'pictophonetic', 'phonetic': '丽', 'semantic': '马', 'hint': 'horse'}",10,187.7,4826,
虢,虍,⿰寽虎,guó,name of ancient feudal State in Shenxi and Hunan,,15,141.9,4827,
烩,火,⿰火会,huì,"ragout, cook, braise","{'type': 'pictophonetic', 'phonetic': '会', 'semantic': '火', 'hint': 'fire'}",10,86.6,4828,
傥,人,⿰亻党,tǎng,"if, supposing, in case","{'type': 'pictophonetic', 'phonetic': '党', 'semantic': '亻', 'hint': 'person'}",12,9.1,4829,
妲,女,⿰女旦,dá,concubine of last ruler of the Shang dynasty,"{'type': 'pictophonetic', 'phonetic': '旦', 'semantic': '女', 'hint': 'woman'}",8,38.5,4830,
绌,糸,⿰纟出,chù,"sew, stitch; insufficient","{'type': 'pictophonetic', 'phonetic': '出', 'semantic': '纟', 'hint': 'thread'}",8,120.5,4831,
桠,木,⿰木亚,yā,the forking branch of a tree,"{'type': 'pictophonetic', 'phonetic': '亚', 'semantic': '木', 'hint': 'tree'}",10,75.6,4832,
袈,衣,⿱加衣,jiā,Buddhist cassock,"{'type': 'pictophonetic', 'phonetic': '加', 'semantic': '衣', 'hint': 'clothes'}",11,145.5,4833,
鎗,金,,qiāng,"rifle, small arms, hand gun",,18,167.1,4834,
薮,艸,⿱艹数,sǒu,"marsh, swamp; wild country","{'type': 'pictophonetic', 'phonetic': '数', 'semantic': '艹', 'hint': 'grass'}",16,140.13,4835,
揿,手,⿰扌钦,qìn,press,"{'type': 'pictophonetic', 'phonetic': '钦', 'semantic': '扌', 'hint': 'hand'}",12,64.9,4836,
杲,木,⿱日木,gǎo,bright sun; brilliant; high,"{'type': 'ideographic', 'hint': 'The sun\xa0日 rising over the woods\xa0木'}",8,75.4,4837,
肓,肉,⿱亡⺼,huāng,region between heart and diaphragm,"{'type': 'pictophonetic', 'phonetic': '亡', 'semantic': '⺼', 'hint': 'flesh'}",7,130.3,4838,
厝,厂,⿸厂昔,cuò,cut or engrave; a grave or tombstone,"{'type': 'ideographic', 'hint': 'A building\xa0厂 containing the past\xa0昔'}",10,27.8,4839,
莅,艸,⿱艹位,lì,"attend, be present; arrive at","{'type': 'ideographic', 'hint': 'A place\xa0位\xa0where grass\xa0艹 grows;\xa0立 also provides the pronunciation'}",10,140.7,4840,
氤,气,⿹气因,yīn,"hanging fog, misty","{'type': 'pictophonetic', 'phonetic': '因', 'semantic': '气', 'hint': 'gas'}",10,84.6,4841,
